asin,title,brand,main_category,second_category,third_category,fourth_category,rank
B0002WSK8A,Lauren LA100C 39-Inch Full-Size Nylon String Classical Acoustic Guitar - Natural,Lauren,Musical Instruments,Guitars,Classical &amp; Nylon-String Guitars,,124391.0
B0002FOHTI,Jones JR101MS Oboe Reed; Medium Soft,Jones,Musical Instruments,Instrument Accessories,Wind & Woodwind Accessories,Reeds,2949.0
B0002F6K4S,S Series Splash Cymbals 10 inch,,Musical Instruments,Drums & Percussion,Drum Sets & Set Components,Cymbals,524988.0
B00061UJBI,"Pro Co 3' IPBQ2Q-3, 1/4"" TRS to (2) 1/4"" TS Insert Cable",Pro Co,Musical Instruments,Live Sound &amp; Stage,Stage &amp; Studio Cables,Instrument Cables,106182.0
B0002GFTJE,Remo KS0006-PH Double Falam Slam Patch (4-Inch),Remo,Musical Instruments,Instrument Accessories,Drum & Percussion Accessories,Drum Set Accessories,21719.0
B0002VR9HY,Rackmount Guitar Hanger,Wallacher,Musical Instruments,Guitars,,,591941.0
B0002GYV8E,"Zildjian K 14"" Hi Hat Cymbals Pair",Avedis Zildjian Company,Musical Instruments,Drums &amp; Percussion,Drum Sets &amp; Set Components,Cymbals,164176.0
B0009KKUBA,Perri's &quot;2&quot;&quot; Premium Cotton Guitar Strap Black 39 to 58 in.&quot;,Perri's,Musical Instruments,Instrument Accessories,Guitar & Bass Accessories,Straps & Strap Locks,497784.0
B00078RWAQ,Pignose PGG-200 Deluxe Electric Guitar  with Built-In Amp (Red),Pignose,Musical Instruments,Guitars,Electric Guitars,Solid Body,143332.0
B0002F6WSW,Gibraltar SC-JCM Jaw Cymbal Mount,Gibraltar,Musical Instruments,Instrument Accessories,Drum & Percussion Accessories,Hardware,36576.0
B0002H0RWC,Lee Oskar Harmonica Harmonic Minor D,Lee Oskar Harmonicas,Musical Instruments,Wind & Woodwind Instruments,Folk & World,Harmonicas,28029.0
B0002H0JZC,"D'Addario EJ27N Student Nylon Classical Guitar Strings, Normal Tension",D'Addario,Musical Instruments,Instrument Accessories,Guitar & Bass Accessories,Strings,1898.0
B0006BH7WW,"31"" Ennis Beginners Harp Package, Complete Celtic Package",HarpsOnly,Musical Instruments,Band &amp; Orchestra,Orchestral Strings,Harps,346442.0
B0006UGE9K,MXL 2006 Large Gold Diaphragm Condenser Microphone with MXL-57 Shock Mount and Carrying Case,MXL,Musical Instruments,Microphones &amp; Accessories,Microphones,Condenser Microphones,61517.0
B0002I1E8W,"Tipper, 2 knob with groove",Mid-East,Musical Instruments,Instrument Accessories,,,589421.0
B0002F592C,Vic Firth Corpsmaster Signature Snare -- Scott Johnson,Vic Firth,Musical Instruments,Instrument Accessories,Drum & Percussion Accessories,Drumsticks,243845.0
B0002GMX7U,Ovation T357 Tangent Super-Shallow Bowl Cutaway Acoustic-Electric Guitar (Black),,Musical Instruments,Drums & Percussion,Hand Percussion,Folk & World,580830.0
B0007XY8TO,HWP H-TGN Pad Saver for Tenor Saxophone Gooseneck,HW,Musical Instruments,Instrument Accessories,Wind & Woodwind Accessories,,15030.0
B0002I9RCC,Whirlwind MK450 Accusonic+2 Microphone Cable - 50 feet,Whirlwind,Musical Instruments,Live Sound &amp; Stage,Stage &amp; Studio Cables,Microphone Cables,32923.0
B0002F7IBC,Denis Wick DW5882-3C Silver-Plated Trumpet Mouthpiece,Denis Wick,Musical Instruments,Instrument Accessories,Brass Accessories,Mouthpieces,88922.0
B0009I2MRC,Hisonic HS707 Portable Battery Powered VHF La Valier and Headset Wireless Microphone System,Hisonic,Musical Instruments,Microphones & Accessories,Microphones,Wireless Microphones & Systems,92689.0
B0007D8R2I,SoundSoap 2,Bias,Musical Instruments,Studio Recording Equipment,Computer Recording,Software,16551.0
B0002F75FG,Schilke 112 Double Trumpet Case,Schilke,Musical Instruments,Instrument Accessories,Brass Accessories,Cleaning & Care,
B0007P4IRE,Elemental Designs eDead 80 Sound Deadening - 40Sq. Ft.,Elemental Designs,Musical Instruments,Studio Recording Equipment,Studio Environment,Acoustical Treatments,539414.0
B0002E39CU,HotSticks HS5AMACXLB 5A Hotsticks Black Xl Optic,HotSticks,Musical Instruments,Instrument Accessories,Drum & Percussion Accessories,Drumsticks,422768.0
B0009V8430,Harp Tuning Tool-Medium,Mid-East,Musical Instruments,Instrument Accessories,Orchestral Strings Accessories,,7295.0
B0007DGOQE,38&quot; Sunlike Guitar with Carrying Bag and Accessories,Crescent,Musical Instruments,Guitars,Acoustic Guitars,Steel-string Acoustics,366797.0
B0002F7IXA,DEG Trumpet Marching Lyre,DEG,Musical Instruments,Instrument Accessories,General Accessories,Music Lyres,22590.0
B0002IHEUE,Amigo AM30 Nylon String Acoustic Guitar,AMIGO,Musical Instruments,Guitars,Acoustic Guitars,Steel-string Acoustics,75201.0
B0002KZRGA,"Fender Jimmie Vaughan Tex Mex Stratocaster, Maple Fingerboard, Olympic White",Fender,Musical Instruments,Guitars,Electric Guitars,Solid Body,190289.0
B0007QKR28,"Planet Waves Custom Series Stereo Cable, 1/4 Inch to Dual Mono 1/4 Inch, 20 feet",D'Addario Accessories,Musical Instruments,Live Sound &amp; Stage,Stage &amp; Studio Cables,Instrument Cables,108775.0
B0009EXZS6,Monster Studiolink Balanced Interconnect 1 M. - XLR Connectors (M SL-X-1),Monster,Musical Instruments,Live Sound & Stage,Stage & Studio Cables,Instrument Cables,297403.0
B00094OT5E,My Ring Tone Studio - Convert Music Files to Ringtones,Tri Synergy,Musical Instruments,Studio Recording Equipment,Computer Recording,Software,60981.0
B0002GFRWI,Sonor Pair of Very Hard Wood Mallets (for Small Glockenspiels),Sonor,Musical Instruments,Instrument Accessories,Drum &amp; Percussion Accessories,Drumsticks,170208.0
B0002OOVS6,ART PS 4X4 Rack Power Strip,ART,Musical Instruments,Studio Recording Equipment,Power Conditioners,,27626.0
B0002F7FU6,Mollard Music Stand (MBT),Mollard,Musical Instruments,Instrument Accessories,General Accessories,Sheet Music Stands,42249.0
B0002F57EC,Seymour Duncan SCR-1N Cool Rails Neck Guitar Pickup - Black,Seymour Duncan,Musical Instruments,Instrument Accessories,Guitar &amp; Bass Accessories,Electric Guitar Parts,87182.0
B0002F75VA,"SwirlyGig SG1010 Drink Holder for 1/2 Tubing, Chrome",SwirlyGig,Musical Instruments,Microphones & Accessories,Accessories,,187999.0
B0006N8VP2,Ion iCD04FX Personal Audio Portable DJ Station,Ion,Musical Instruments,Live Sound &amp; Stage,PA Systems,,324675.0
B0002GL1XW,Latin Percussion LP444 Vibra-Slap Mounting Bracket,Latin Percussion,Musical Instruments,Instrument Accessories,Drum &amp; Percussion Accessories,Hardware,247275.0
B0002PCMEK,"Levy's Leathers MG12PDX-BRN 2.5-inch Leather Strap with Foam Core,Brown",Levy's Leathers,Musical Instruments,Instrument Accessories,Guitar & Bass Accessories,Straps & Strap Locks,277556.0
B0002GKRO6,Seymour Duncan STK-S2 Hot Single Coil Pickup Black Neck,Seymour Duncan,Musical Instruments,Instrument Accessories,Guitar & Bass Accessories,Electric Guitar Parts,45732.0
B0002KZIYG,"Fender 0054912000 Blues Junior Iii Cover, Black Vinyl",Fender,Musical Instruments,Instrument Accessories,Guitar & Bass Accessories,Amplifier Accessories,12672.0
B0002TKL9E,Woodwind Cork Grease,Woodwind,Musical Instruments,Instrument Accessories,Drum & Percussion Accessories,,64673.0
B0009EW1FO,Washburn Idol Series Electric Guitar,Washburn,Musical Instruments,Guitars,Electric Guitars,Solid Body,505796.0
B0002S096K,Audio Cleaning Lab 2005 [OLD VERSION],MAGIX,Musical Instruments,Studio Recording Equipment,Computer Recording,Software,23233.0
B0002TUX10,Leadsinger LS-3C06 Vegas and Elvis Cartridge for LS-3000 Series Karaoke System (100 Songs),Leadsinger,Musical Instruments,Electronic Music, DJ & Karaoke,Karaoke Equipment,191437.0
B0007UTVCG,Johnson Bottle Slide Triolian Resonator Guitar,Johnson,Musical Instruments,Guitars,Acoustic Guitars,Resonators,352361.0
B0002F58R8,Mollard Music Stand (P12ZW),Mollard,Musical Instruments,Instrument Accessories,General Accessories,Conducting Batons,53072.0
B0002F752Y,"Pearl DCL300P Drop Clutch, Felt Washers, Lock Nut",Pearl,Musical Instruments,Instrument Accessories,Drum & Percussion Accessories,,21347.0
