reviewer_id,overall,summary,review_timestamp,asin,type
A3TBJ93ULYA7HX,5.0,very good,2023-07-28 18:48:28.117,B0002F751U,REVIEWED
AS3JHENSQ43RV,5.0,none better.,2023-07-29 23:14:55.58,B0002GZSSG,REVIEWED
A2ARISNBYH1NC4,5.0,The only strings for me.,2023-07-28 20:41:48.185,B0002FO3LU,REVIEWED
A15MKE6IFGO6ZH,5.0,The is the humbucker with vintage quack! Fast with ...,2023-07-28 21:39:24.896,B0002GLAEW,REVIEWED
A1W98JOPERVYAA,5.0,Five Stars,2023-07-30 00:34:20.1,B0002I8Y6W,REVIEWED
A2YKBFCDRJIR26,5.0,Difficult to play but cute accessory for harmonica lover. ...,2023-07-27 21:10:37.489,B0002F4WCU,REVIEWED
A1PD4ZVU9KRRME,5.0,KEYBOARD CHORD COMPUTER,2023-08-02 00:15:17.237,B00078HZJE,REVIEWED
A2A8CQJYR4YGMU,5.0,Five Stars,2023-08-02 22:55:28.01,B0009OW988,REVIEWED
ASLA66R1BK8AG,5.0,"Love it, love it, love it",2023-07-27 21:50:31.672,B0002F559E,REVIEWED
A2GZA7Q65YSH0G,1.0,One Star,2023-07-29 21:28:53.914,B0002GVEKW,REVIEWED
ANP4U3EJ3KKTB,5.0,Cuts through the mix!,2023-07-27 22:15:50.61,B0002F5HTC,REVIEWED
A176KPSHAC2KUU,5.0,Great sound!,2023-07-31 19:43:14.409,B0002INL4W,REVIEWED
A1O5J3HNDM1OH9,4.0,Four Stars,2023-07-29 21:28:53.914,B0002GVEKW,REVIEWED
A1ZXPP7XD6D073,5.0,perfect for slapping away at some funk,2023-07-28 20:41:48.185,B0002FO3LU,REVIEWED
ATW16RHWQ5GP6,5.0,great!,2023-07-28 21:17:47.529,B0002GIWZM,REVIEWED
A3OSRD2LWQIE68,3.0,It's okay,2023-07-29 21:45:06.966,B0002GU1EW,REVIEWED
A2OP6SD36OFD79,1.0,One Star,2023-07-31 21:29:22.19,B0002M728Y,REVIEWED
A2QDMOCH2WUXU4,5.0,Five Stars,2023-07-27 22:28:00.34,B0002F5GZW,REVIEWED
ARNPFUHVBBHIJ,5.0,great product,2023-07-27 21:50:31.672,B0002F559E,REVIEWED
A6VI3BP066YRU,2.0,its good tone is good,2023-07-29 23:00:32.069,B0002H0KGU,REVIEWED
A3I4826FE4MUSE,1.0,I haven't had the chance to use it.,2023-07-29 21:45:06.966,B0002GU1EW,REVIEWED
A1BUK4F9W1V367,5.0,superior audio microphone,2023-07-29 21:45:06.966,B0002GU1EW,REVIEWED
A1389DCNK80VAF,5.0,Excellent,2023-07-27 22:30:44.171,B0002F5GZW,REVIEWED
A3V9NU08SE9GCV,5.0,Five Stars,2023-07-29 23:00:32.069,B0002H0KGU,REVIEWED
A1YIJBJ7GJRBQH,3.0,Careless Shipping,2023-07-28 20:41:48.185,B0002FO3LU,REVIEWED
A3QT98E8JEJYFH,5.0,Five Stars,2023-08-01 23:37:04.773,B0006ZSTZM,REVIEWED
A3C18MSQ3PD933,5.0,Five Stars,2023-07-27 20:42:09.562,B0002EKKSG,REVIEWED
A1Z30TU1M1C7GD,5.0,Five Stars,2023-07-31 21:29:22.19,B0002M728Y,REVIEWED
A1FGAI4SK61Z7,3.0,But it is cheap and perhaps a good way to start on a minimal flute,2023-07-30 00:34:20.1,B0002I8Y6W,REVIEWED
AYCAIHABPYWVJ,5.0,"Great for speech recognition, most voice communication type applications, but requires care in connecting to a device",2023-07-27 20:42:09.562,B0002EKKSG,REVIEWED
AZX2RDN9YXZAE,4.0,Click Click,2023-07-27 22:30:44.187,B0002F5GZW,REVIEWED
A3BPX5HE7ROOIH,3.0,small nut width will cause issues,2023-07-29 23:00:32.069,B0002H0KGU,REVIEWED
A3DM9VFFYI0S7S,5.0,Great product!,2023-07-27 22:30:44.171,B0002F5GZW,REVIEWED
AY2V7O8T5IS3E,4.0,"Very loud, both in sound and visually",2023-07-27 22:15:50.61,B0002F5HTC,REVIEWED
A19HXI843PTFTE,5.0,Feels like quality,2023-07-27 21:10:37.489,B0002F4WCU,REVIEWED
AWFSTV5LU10AO,5.0,Every Trumpet Player Should Have One,2023-07-27 21:50:31.672,B0002F559E,REVIEWED
A25GKRLUSG4EI4,2.0,Two Stars,2023-07-29 21:28:53.914,B0002GVEKW,REVIEWED
A3Q7390BQ7G6GA,5.0,Item as described,2023-07-27 20:42:09.562,B0002EKKSG,REVIEWED
A271NIB55QN2JT,1.0,Martin M120 have a big D-string breakage problem!,2023-07-29 23:14:55.58,B0002GZSSG,REVIEWED
A35NK1PEDWMV0I,5.0,Five Stars,2023-07-29 21:28:53.914,B0002GVEKW,REVIEWED
A1JQVOS6HBEXGY,5.0,Absolutely fantastic!,2023-07-30 00:34:20.1,B0002I8Y6W,REVIEWED
A30YNUCNJKLMGO,5.0,Five Stars,2023-07-31 21:29:22.19,B0002M728Y,REVIEWED
A34PJX73BPN1JV,5.0,Five Stars,2023-07-27 21:10:37.489,B0002F4WCU,REVIEWED
A3FG2WOITTYDFZ,4.0,Four Stars,2023-07-29 21:28:53.914,B0002GVEKW,REVIEWED
A2ITZ5V47KU2CF,5.0,A refined vintage tone,2023-07-28 21:39:24.896,B0002GLAEW,REVIEWED
A2OFUELQIUSZTK,4.0,Your little secret weapon!,2023-08-02 00:15:17.237,B00078HZJE,REVIEWED
A2AWIMJO4GTE6B,5.0,Buen Sonido,2023-07-28 21:17:47.529,B0002GIWZM,REVIEWED
A3EAVE96K15COX,5.0,Great nylon strings.,2023-07-29 23:14:55.58,B0002GZSSG,REVIEWED
AJ918K5C3H8GJ,4.0,fine whistle,2023-07-30 00:34:20.1,B0002I8Y6W,REVIEWED
AVDHOP8Z5NQLP,3.0,"once you get it to hold, it stays.",2023-07-28 20:49:00.387,B0002FP030,REVIEWED
AEN6KDJ3AJDK6,4.0,Great shaker but slightly fragile,2023-07-27 22:15:50.61,B0002F5HTC,REVIEWED
A2744KNJHWVXMZ,3.0,Convenient,2023-08-02 22:46:18.977,B0009K9R82,REVIEWED
AUO8U4BVOCB9S,4.0,Great learning/writing tool!,2023-08-02 00:15:17.237,B00078HZJE,REVIEWED
AT57SWNQ9P4AD,5.0,and I love them!,2023-08-02 21:15:17.269,B0007Y09VO,REVIEWED
A874X8SWY953X,5.0,Five Stars,2023-07-28 20:41:48.185,B0002FO3LU,REVIEWED
A3X5RVRWNPHML,5.0,Five Stars,2023-07-28 20:41:48.185,B0002FO3LU,REVIEWED
A3QG8ZF3VS1HJA,5.0,Five Stars,2023-07-29 23:14:55.58,B0002GZSSG,REVIEWED
A35OHC47RDZFU,5.0,Great soft-sided case,2023-08-01 21:27:08.56,B00030BOQQ,REVIEWED
A3OCNMBF7CB25H,5.0,Great beginner's strings!,2023-08-02 21:15:17.269,B0007Y09VO,REVIEWED
A215L6WS99NGKR,5.0,Trumpet Mute,2023-07-27 21:50:31.672,B0002F559E,REVIEWED
A1KPMT106AWZEO,5.0,I use these to practice on my electronic drum kit ...,2023-07-27 22:48:39.941,B0002F5FFS,REVIEWED
AYOEBTKFV0G4X,5.0,Very satisfied,2023-08-01 23:20:11.98,B0006VYYGE,REVIEWED
AYR28J0A8KVLS,2.0,NOISY,2023-07-29 23:04:07.02,B0002GYYE0,REVIEWED
A3BMUBUC1N77U8,5.0,The best you can get!,2023-08-02 23:11:20.454,B0002D04EM,REVIEWED
A3PNQ5J7KO7YSZ,3.0,I've purchased 2 pairs of these sticks and the rubber/anti-vibe ...,2023-07-27 22:48:39.941,B0002F5FFS,REVIEWED
A2HJ5DLQWXOT2O,1.0,Misleading image,2023-08-02 22:49:44.858,B0009N9ON2,REVIEWED
A12HVZ99NF8Y1C,5.0,Five Stars,2023-07-27 20:34:41.947,B0002EJVL8,REVIEWED
